episodes:steps:mean_steps(10):rwd:mean_rwd:rwd_sum:rwd_sum-?*step:iter
      0:   165:     16.5: -0.10000: -0.53674:    -88.6:-105.06281:       165
      1:   235:     40.0: -0.10000: -0.95669:   -224.8:-248.32309:       400
      2:   333:     73.3: -0.10000: -0.65528:   -218.2:-251.50981:       733
      3:   150:     88.3: -0.10000: -0.08812:    -13.2: -28.21867:       883
      4:   178:    106.1: -0.10000: -0.18352:    -32.7: -50.46713:      1061
      5:    75:    113.6: -0.10000: -0.01727:     -1.3:  -8.79528:      1136
      6:    79:    121.5: -0.10000: -0.05063:     -4.0: -11.90006:      1215
      7:   152:    136.7: -0.10000: -0.08266:    -12.6: -27.76370:      1367
      8:    61:    142.8: -0.10000: -0.02800:     -1.7:  -7.80804:      1428
      9:    94:    152.2: -0.10000:  0.01230:      1.2:  -8.24395:      1522
     10:   142:    149.9: -0.10000: -0.06275:     -8.9: -23.11070:      1664
     11:    65:    132.9: -0.10000: -0.03158:     -2.1:  -8.55294:      1729
     12:    78:    107.4: -0.10000: -0.01030:     -0.8:  -8.60320:      1807
     13:    65:     98.9: -0.10000: -0.01470:     -1.0:  -7.45559:      1872
     14:   137:     94.8: -0.10000: -0.04294:     -5.9: -19.58256:      2009
     15:   114:     98.7: -0.10000: -0.06049:     -6.9: -18.29630:      2123
     16:   197:    110.5: -0.10000: -0.22671:    -44.7: -64.36212:      2320
     17:    70:    102.3: -0.10000:  0.00100:      0.1:  -6.93008:      2390
     18:   117:    107.9: -0.10000: -0.05310:     -6.2: -17.91226:      2507
     19:   118:    110.3: -0.10000: -0.07114:     -8.4: -20.19482:      2625
     20:   143:    110.4: -0.10000: -0.09286:    -13.3: -27.57961:      2768
     21:    58:    109.7: -0.10000: -0.00972:     -0.6:  -6.36357:      2826
     22:   114:    113.3: -0.10000: -0.05622:     -6.4: -17.80855:      2940
     23:   168:    123.6: -0.10000: -0.14585:    -24.5: -41.30230:      3108
     24:   190:    128.9: -0.10000: -0.14876:    -28.3: -47.26499:      3298
     25:   114:    128.9: -0.10000: -0.05310:     -6.1: -17.45286:      3412
     26:   115:    120.7: -0.10000: -0.01103:     -1.3: -12.76815:      3527
